distance,dropoff_h3,duration,pickup_h3
29071.3,8a2a100abc9ffff,1665.2,882a103b39fffff
29312.1,8a2a100894a7fff,1719.5,882a103b39fffff
28136.4,8a2a10089367fff,1633.9,882a103b39fffff
27089.1,8a2a100d69a7fff,1553.6,882a103b39fffff
34373.4,8a2a100ae6f7fff,1836.4,882a103b39fffff
23305.5,8a2a1072ca6ffff,1579.5,882a103b39fffff
24755.8,8a2a1072c577fff,1689.8,882a103b39fffff
26001.8,8a2a100d6aa7fff,1460.1,882a103b39fffff
28627.6,8a2a10725847fff,1596.0,882a103b39fffff
28628.3,8a2a1072584ffff,1590.8,882a103b39fffff
28203.3,8a2a100d359ffff,1685.8,882a103b39fffff
30236.9,8a2a100882affff,1786.1,882a103b39fffff
26834.6,8a2a100d05affff,1461.8,882a103b39fffff
23993.9,8a2a1072c76ffff,1594.6,882a103b39fffff
22892.2,8a2a1072c347fff,1447.6,882a103b39fffff
29168.3,8a2a100d6487fff,1636.8,882a103b39fffff
29321.4,8a2a1008b8c7fff,1720.6,882a103b39fffff
30135.8,8a2a100891a7fff,1681.9,882a103b39fffff
30699.9,8a2a1008888ffff,1807.2,882a103b39fffff
28998.4,8a2a1072cd67fff,1775.5,882a103b39fffff
28228.0,8a2a1008ba47fff,1625.1,882a103b39fffff
29402.1,8a2a10089b57fff,1653.4,882a103b39fffff
32479.6,8a2a100ae08ffff,1712.8,882a103b39fffff
32450.5,8a2a10088897fff,1827.9,882a103b39fffff
23438.3,8a2a1072c2dffff,1488.4,882a103b39fffff
29916.6,8a2a10721a07fff,1815.9,882a103b39fffff
30049.5,8a2a100aa64ffff,1735.4,882a103b39fffff
23733.0,8a2a100d3417fff,1638.5,882a103b39fffff
26937.2,8a2a1008d147fff,1542.3,882a103b39fffff
29209.9,8a2a100d26cffff,1798.8,882a103b39fffff
23545.4,8a2a1072dc8ffff,1542.9,882a103b39fffff
29229.6,8a2a1008c0cffff,1679.5,882a103b39fffff
